IGKV3-20*01,IGKJ1*01
IGKV4-1*01,IGKJ1*01
IGKV1-39*01,IGKJ1*01
IGKV1-39*01,IGKJ1*01
IGKV1-39*01,IGKJ1*01
IGKV2-24*01,IGKJ2*01
IGKV2-24*01,IGKJ2*01
IGKV1-33*01,IGKJ4*01
IGLV1-51*01,IGLJ2*01
IGLV1-44*01,IGLJ2*01
IGKV3-15*01,IGKJ4*01
IGKV1-9*01,IGKJ4*01
IGLV3-1*01,IGLJ2*01
IGKV3-11*01,IGKJ5*01
IGKV1-39*01,IGKJ1*01
IGLV1-47*01,IGLJ2*01
IGLV1-47*01,IGLJ3*02
IGLV2-23*01,IGLJ3*02
IGKV3-11*01,IGKJ3*01
IGKV4-1*01,IGKJ4*01
IGKV3-11*01,IGKJ3*01
IGKV1-39*01,IGKJ3*01
IGKV1-39*01,IGKJ3*01
IGKV4-1*01,IGKJ3*01
IGKV3-11*01,IGKJ4*01
IGKV1-17*01,IGKJ4*01
IGKV1-17*01,IGKJ4*01
IGKV1-17*01,IGKJ4*01
IGKV4-1*01,IGKJ1*01
IGKV2-28*01,IGKJ2*01
IGKV2-28*01,IGKJ2*01
IGKV3-15*01,IGKJ1*01
IGKV1-39*01,IGKJ2*01
IGLV6-57*02,IGLJ3*02
IGKV4-1*01,IGKJ1*01
